actor_name,title,name,name,rating,rental_rate,rental_duration
PENELOPE GUINESS,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
CHRISTIAN GABLE,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
LUCILLE TRACY,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
SANDRA PECK,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
JOHNNY CAGE,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
MENA TEMPLE,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
WARREN NOLTE,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
OPRAH KILMER,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
ROCK DUKAKIS,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
MARY KEITEL,ACADEMY DINOSAUR,Documentary,English,PG,0.99,6
BOB FAWCETT,ACE GOLDFINGER,Horror,English,G,4.99,3
MINNIE ZELLWEGER,ACE GOLDFINGER,Horror,English,G,4.99,3
SEAN GUINESS,ACE GOLDFINGER,Horror,English,G,4.99,3
CHRIS DEPP,ACE GOLDFINGER,Horror,English,G,4.99,3
NICK WAHLBERG,ADAPTATION HOLES,Documentary,English,NC-17,2.99,7
BOB FAWCETT,ADAPTATION HOLES,Documentary,English,NC-17,2.99,7
CAMERON STREEP,ADAPTATION HOLES,Documentary,English,NC-17,2.99,7
RAY JOHANSSON,ADAPTATION HOLES,Documentary,English,NC-17,2.99,7
JULIANNE DENCH,ADAPTATION HOLES,Documentary,English,NC-17,2.99,7
JODIE DEGENERES,AFFAIR PREJUDICE,Horror,English,G,2.99,5
SCARLETT DAMON,AFFAIR PREJUDICE,Horror,English,G,2.99,5
KENNETH PESCI,AFFAIR PREJUDICE,Horror,English,G,2.99,5
FAY WINSLET,AFFAIR PREJUDICE,Horror,English,G,2.99,5
OPRAH KILMER,AFFAIR PREJUDICE,Horror,English,G,2.99,5
GARY PHOENIX,AFRICAN EGG,Family,English,G,2.99,6
DUSTIN TAUTOU,AFRICAN EGG,Family,English,G,2.99,6
MATTHEW LEIGH,AFRICAN EGG,Family,English,G,2.99,6
MATTHEW CARREY,AFRICAN EGG,Family,English,G,2.99,6
THORA TEMPLE,AFRICAN EGG,Family,English,G,2.99,6
KIRSTEN PALTROW,AGENT TRUMAN,Foreign,English,PG,2.99,3
SANDRA KILMER,AGENT TRUMAN,Foreign,English,PG,2.99,3
JAYNE NEESON,AGENT TRUMAN,Foreign,English,PG,2.99,3
WARREN NOLTE,AGENT TRUMAN,Foreign,English,PG,2.99,3
MORGAN WILLIAMS,AGENT TRUMAN,Foreign,English,PG,2.99,3
KENNETH HOFFMAN,AGENT TRUMAN,Foreign,English,PG,2.99,3
REESE WEST,AGENT TRUMAN,Foreign,English,PG,2.99,3
JIM MOSTEL,AIRPLANE SIERRA,Comedy,English,PG-13,4.99,6
RICHARD PENN,AIRPLANE SIERRA,Comedy,English,PG-13,4.99,6
OPRAH KILMER,AIRPLANE SIERRA,Comedy,English,PG-13,4.99,6
MENA HOPPER,AIRPLANE SIERRA,Comedy,English,PG-13,4.99,6
MICHAEL BOLGER,AIRPLANE SIERRA,Comedy,English,PG-13,4.99,6
FAY KILMER,AIRPORT POLLOCK,Horror,English,R,4.99,6
GENE WILLIS,AIRPORT POLLOCK,Horror,English,R,4.99,6
SUSAN DAVIS,AIRPORT POLLOCK,Horror,English,R,4.99,6
LUCILLE DEE,AIRPORT POLLOCK,Horror,English,R,4.99,6
CHRISTIAN GABLE,ALABAMA DEVIL,Horror,English,PG-13,2.99,3
ELVIS MARX,ALABAMA DEVIL,Horror,English,PG-13,2.99,3
RIP CRAWFORD,ALABAMA DEVIL,Horror,English,PG-13,2.99,3
MENA TEMPLE,ALABAMA DEVIL,Horror,English,PG-13,2.99,3
